ix,start_index,end_index
1,1,25
2,26,32
3,33,46
4,47,76
5,77,96
6,97,124
7,125,127
8,128,157
9,158,166
10,167,198
11,199,229
12,230,263
13,264,301
14,302,335
15,336,366
16,367,382
17,383,404
18,405,436
19,437,467
20,468,501
21,502,538
22,539,571
23,572,605
24,606,644
25,645,676
26,677,710
27,711,735
28,736,768
29,769,805
30,806,823
31,824,824
32,825,846
33,847,882
34,883,918
35,919,943
36,944,974
37,975,1012
38,1013,1048
39,1049,1085
40,1086,1117
41,1118,1147
42,1148,1156
43,1157,1186
44,1187,1222
45,1223,1255
46,1256,1293
47,1294,1330
48,1331,1365
49,1366,1406
50,1407,1439
51,1440,1481
52,1482,1512
53,1513,1545
54,1546,1581
55,1582,1615
56,1616,1646
57,1647,1677
58,1678,1711
59,1712,1753
60,1754,1786
61,1787,1826
62,1827,1860
63,1861,1889
64,1890,1919
65,1920,1949
66,1950,1982
67,1983,2011
68,2012,2048
69,2049,2086
70,2087,2121
71,2122,2144
72,2145,2168
73,2169,2204
74,2205,2238
75,2239,2273
76,2274,2313
77,2314,2343
78,2344,2377
79,2378,2412
80,2413,2438
81,2439,2439
82,2440,2441
83,2442,2473
84,2474,2506
85,2507,2540
86,2541,2573
87,2574,2613
88,2614,2644
89,2645,2670
90,2671,2700
91,2701,2731
92,2732,2769
93,2770,2805
94,2806,2840
95,2841,2873
96,2874,2876
97,2877,2889
98,2890,2920
99,2921,2949
100,2950,2964
101,2965,2995
102,2996,3028
103,3029,3063
104,3064,3096
105,3097,3131
106,3132,3164
107,3165,3176
108,3177,3186
109,3187,3198
110,3199,3204
111,3205,3217
112,3218,3229
113,3230,3235
114,3236,3252
115,3253,3274
116,3275,3289
117,3290,3308
118,3309,3333
119,3334,3362
120,3363,3395
121,3396,3421
122,3422,3428
123,3429,3430
124,3431,3432
125,3433,3457
126,3458,3491
127,3492,3518
128,3519,3552
129,3553,3591
130,3592,3628
131,3629,3666
132,3667,3695
133,3696,3723
134,3724,3754
135,3755,3787
136,3788,3823
137,3824,3859
138,3860,3896
139,3897,3925
140,3926,3926
141,3927,3945
142,3946,3983
143,3984,4016
144,4017,4045
145,4046,4082
146,4083,4118
147,4119,4154
148,4155,4188
149,4189,4225
150,4226,4244
151,4245,4245
152,4246,4260
153,4261,4284
154,4285,4312
